Cryptocurrency,Price
HeliumHNT,9.07
EOSEOS,1.03
KuCoin TokenKCS,12.98
RaydiumRAY,5.31
Pyth NetworkPYTH,0.43
Ethereum Name ServiceENS,43.47
JupiterJUP,1.08
TezosXTZ,1.42
FlowFLOW,0.92
ArweaveAR,21.77
Aerodrome FinanceAERO,1.99
Curve DAO TokenCRV,1.13
StarknetSTRK,0.62
MovementMOVE,0.61
IOTAIOTA,0.38
dYdX (Native)DYDX,2.05
MultiversXEGLD,46.24
Bitcoin SVBSV,64.41
CoreCORE,1.37
BitTorrent [New]BTT,0.0
NeoNEO,17.66
AIOZ NetworkAIOZ,1.07
GateTokenGT,13.6
XDC NetworkXDC,0.08
DecentralandMANA,0.61
PolygonMATIC,0.6
BitcoinBTC,104435.36
EthereumETH,3867.94
XRPXRP,2.47
TetherUSDT,0.9997
SolanaSOL,217.53
BNBBNB,712.41
DogecoinDOGE,0.3841
USDCUSDC,0.9999
CardanoADA,1.02
TRONTRX,0.2722
AvalancheAVAX,46.3
ChainlinkLINK,27.1
Shiba InuSHIB,0.0
ToncoinTON,5.69
SuiSUI,4.56
StellarXLM,0.42
PolkadotDOT,8.2
HederaHBAR,0.3
Bitcoin CashBCH,517.78
UniswapUNI,15.62
PepePEPE,0.0
UNUS SED LEOLEO,9.68
LitecoinLTC,116.93
NEAR ProtocolNEAR,6.12
AptosAPT,12.81
Ethena USDeUSDe,1.0
Bitget TokenBGB,4.15
Internet ComputerICP,11.94
AaveAAVE,366.18
DaiDAI,1.0
CronosCRO,0.19
Ethereum ClassicETC,31.49
POL (ex-MATIC)POL,0.55
VeChainVET,0.05
RenderRENDER,8.31
MoneroXMR,220.32
MantleMNT,1.18
ArbitrumARB,0.93
Artificial Superintelligence AllianceFET,1.58
BittensorTAO,521.58
MANTRAOM,4.05
FilecoinFIL,6.07
KaspaKAS,0.14
FantomFTM,1.22
AlgorandALGO,0.4
CosmosATOM,8.33
StacksSTX,2.15
OptimismOP,2.34
EthenaENA,1.06
OKBOKB,50.62
CelestiaTIA,6.19
ImmutableIMX,1.66
Virtuals ProtocolVIRTUAL,2.74
OndoONDO,1.93
InjectiveINJ,26.98
Theta NetworkTHETA,2.56
BonkBONK,0.0
dogwifhatWIF,2.51
The GraphGRT,0.25
THORChainRUNE,6.41
SeiSEI,0.52
Pudgy PenguinsPENGU,0.03
WorldcoinWLD,2.65
FLOKIFLOKI,0.0
JasmyCoinJASMY,0.04
Lido DAOLDO,2.02
First Digital USDFDUSD,1.0
FlareFLR,0.03
The SandboxSAND,0.66
GalaGALA,0.04
Brett (Based)BRETT,0.16
MakerMKR,1740.17
BeamBEAM,0.03
Pyth NetworkPYTH,0.42
KaiaKAIA,0.26
EOSEOS,0.97
Ethereum Name ServiceENS,42.29
QuantQNT,121.2
MovementMOVE,0.64
KuCoin TokenKCS,11.92
TezosXTZ,1.4
HeliumHNT,8.02
RaydiumRAY,4.83
JupiterJUP,1.0
FlowFLOW,0.85
dYdX (Native)DYDX,1.84
AIOZ NetworkAIOZ,1.13
Curve DAO TokenCRV,1.03
ArweaveAR,19.66
StarknetSTRK,0.57
Aerodrome FinanceAERO,1.81
IOTAIOTA,0.35
GateTokenGT,13.61
Bitcoin SVBSV,60.62
NeoNEO,16.75
BitTorrent [New]BTT,0.0
MultiversXEGLD,41.34
XDC NetworkXDC,0.08
CoreCORE,1.21
EigenLayerEIGEN,5.28
